date,open,high,low,close,volume,open_interest,exchange,interval,symbol,accumulative_adjust
2017-10-31,-18.0800000000001,-17.2800000000001,-18.2000000000001,-17.5200000000001,403179,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-01,-17.5300000000001,-16.9100000000001,-18.2400000000001,-17.8400000000001,570504,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-02,-17.8300000000001,-17.1000000000001,-18.1400000000001,-17.3400000000001,417263,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-03,-17.3300000000001,-16.3700000000001,-17.7300000000001,-16.4300000000001,497386,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-05,-16.1600000000001,-16.1300000000001,-16.4500000000001,-16.3800000000001,28439,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-06,-16.3800000000001,-14.5200000000001,-16.4700000000001,-14.8100000000001,688065,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-07,-14.8000000000001,-14.4400000000001,-15.3000000000001,-15.1500000000001,574553,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-08,-15.1500000000001,-14.2100000000001,-15.7200000000001,-15.2600000000001,696799,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-09,-15.2700000000001,-14.6000000000001,-15.4400000000001,-15.0800000000001,487658,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-10,-15.0900000000001,-14.7800000000001,-15.5800000000001,-15.2300000000001,382319,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-12,-15.2300000000001,-15.1100000000001,-15.3600000000001,-15.3300000000001,12853,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-13,-15.3300000000001,-14.9800000000001,-15.8300000000001,-15.5000000000001,427442,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-14,-15.5000000000001,-15.4600000000001,-17.3200000000001,-17.1000000000001,530818,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-15,-17.1000000000001,-16.57,-17.2500000000001,-16.7800000000001,337217,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-16,-16.7800000000001,-16.5100000000001,-17.2000000000001,-16.86,122650,0,Exchange.NYMEX,Interval.MINUTE,CLZ17,72.1300000000001
2017-11-17,-16.86,-15.5000000000001,-16.8800000000001,-15.5200000000001,534045,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-19,-15.5200000000001,-15.44,-15.6600000000001,-15.5700000000001,18307,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-20,-15.5700000000001,-15.3900000000001,-16.57,-15.8800000000001,466516,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-21,-15.8800000000001,-14.5200000000001,-15.9900000000001,-14.6100000000001,530234,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-22,-14.6100000000001,-14.1700000000001,-14.9900000000001,-14.44,569097,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-23,-14.44,-13.7400000000001,-14.5700000000001,-13.87,168301,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-24,-13.87,-13.2700000000001,-13.9100000000001,-13.3500000000001,298291,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-26,-13.37,-13.33,-13.7000000000001,-13.62,26904,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-27,-13.62,-13.58,-14.7700000000001,-14.5600000000001,507487,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-28,-14.5600000000001,-14.2100000000001,-14.9,-14.6400000000001,454462,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-29,-14.6400000000001,-14.0200000000001,-15.5700000000001,-14.86,645597,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-11-30,-14.87,-14.3400000000001,-15.5000000000001,-14.7400000000001,651645,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-01,-14.7400000000001,-13.44,-14.7800000000001,-14.0300000000001,551171,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-03,-14.0000000000001,-13.98,-14.4900000000001,-14.4,24045,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-04,-14.3900000000001,-14.3,-14.97,-14.7500000000001,436558,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-05,-14.7400000000001,-14.4,-15.2400000000001,-14.9300000000001,399481,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-06,-14.9300000000001,-14.7500000000001,-16.4500000000001,-16.1600000000001,535761,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-07,-16.1600000000001,-15.5400000000001,-16.5000000000001,-15.6600000000001,386671,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-08,-15.65,-14.5300000000001,-15.7800000000001,-14.98,476651,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-10,-15.0700000000001,-15.05,-15.3,-15.1700000000001,17755,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-11,-15.1600000000001,-13.94,-15.4100000000001,-13.9600000000001,445358,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-12,-13.9600000000001,-13.76,-15.47,-14.8400000000001,578448,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-13,-14.8500000000001,-14.4900000000001,-15.7700000000001,-15.62,456151,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-14,-15.62,-15.1000000000001,-16.23,-15.1400000000001,411741,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-15,-15.1400000000001,-14.83,-15.3800000000001,-14.9600000000001,130412,0,Exchange.NYMEX,Interval.MINUTE,CLF18,72.32
2017-12-17,-14.96,-14.91,-15.02,-14.95,11447,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2017-12-18,-14.95,-14.55,-15.48,-15.02,412529,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2017-12-19,-15.03,-14.56,-15.08,-14.64,334588,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2017-12-20,-14.64,-14.24,-14.92,-14.35,351054,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2017-12-21,-14.35,-13.98,-14.73,-14.16,340999,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2017-12-22,-14.17,-13.86,-14.49,-14.01,247464,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2017-12-25,-13.96,-13.71,-13.99,-13.86,12886,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2017-12-26,-13.87,-12.35,-14.04,-12.6,376924,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2017-12-27,-12.6,-12.43,-13.03,-12.61,360391,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2017-12-28,-12.6,-12.04,-12.92,-12.08,325240,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2017-12-29,-12.09,-11.85,-12.43,-12.26,355108,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-01,-12.16,-11.63,-12.23,-11.78,33083,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-02,-11.78,-11.62,-12.26,-11.98,398883,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-03,-11.98,-10.22,-12.08,-10.24,498985,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-04,-10.24,-10.15,-10.77,-10.36,459208,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-05,-10.37,-10.33,-11.27,-10.77,410922,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-07,-10.75,-10.62,-10.82,-10.77,17879,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-08,-10.77,-9.80000000000004,-11.02,-10.16,414743,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-09,-10.16,-8.83000000000004,-10.56,-8.89000000000004,592700,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-10,-8.88000000000005,-8.69000000000004,-9.27000000000004,-8.85000000000004,492240,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-11,-8.85000000000004,-7.59000000000005,-8.93000000000004,-8.73000000000004,575428,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-12,-8.73000000000004,-7.86000000000004,-9.30000000000004,-7.96000000000004,486892,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-14,-7.93000000000004,-7.77000000000004,-8.18000000000004,-7.88000000000004,21280,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-15,-7.88000000000004,-7.47000000000004,-8.27000000000004,-7.84000000000005,210582,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-16,-7.85000000000004,-7.81000000000005,-8.97000000000004,-8.70000000000005,459483,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-17,-8.70000000000005,-8.01000000000005,-9.05000000000004,-8.13000000000004,324685,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-18,-8.13000000000004,-8.12000000000005,-9.51000000000004,-9.15000000000004,123716,0,Exchange.NYMEX,Interval.MINUTE,CLG18,72.36
2018-01-19,-9.15000000000004,-8.58000000000004,-9.38000000000005,-8.81000000000005,469302,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-01-21,-8.78000000000004,-8.72000000000004,-9.04000000000004,-8.83000000000004,25393,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-01-22,-8.83000000000004,-8.15000000000005,-9.23000000000005,-8.32000000000004,506675,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-01-23,-8.32000000000004,-7.40000000000005,-8.58000000000004,-7.84000000000005,529802,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-01-24,-7.84000000000005,-5.93000000000005,-7.92000000000004,-6.01000000000005,691126,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-01-25,-6.01000000000005,-5.62000000000005,-7.37000000000005,-6.95000000000005,558924,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-01-26,-6.94000000000004,-5.93000000000005,-6.99000000000004,-6.04000000000005,487637,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-01-28,-6.10000000000004,-5.82000000000005,-6.18000000000005,-5.91000000000004,29977,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
2018-01-29,-5.92000000000004,-5.88000000000004,-7.51000000000005,-7.46000000000005,539192,0,Exchange.NYMEX,Interval.MINUTE,CLH18,72.28
